text,label
Win a free iPhone now,spam
Congratulations you won a lottery,spam
Limited time offer claim now,spam
Earn money from home easily,spam
Cheap loans available apply now,spam
Meeting scheduled at 10 AM,ham
Project submission deadline tomorrow,ham
Can we discuss the assignment today,ham
Please find the attached report,ham
Let's have lunch tomorrow,ham
Your account has been selected for a prize,spam
Important notice regarding your bank account,spam
Team meeting postponed to Monday,ham
Thank you for your email,ham
